pgID	interpChr	interpOrd	og	repGene	genome	chr	start	end	hap1	salicifolius	hap2
248	X	206	8052	NChap1_final_00000206	hap1	X	2650050	2652250	NChap1_final_00000206	R_salicifolius_00022446	NChap2_final_00025239
249	X	207	8100	NChap1_final_00000207	hap1	X	2653056	2657938	NChap1_final_00000207	R_salicifolius_00022447	NChap2_final_00025238
251	X	208	8149	NChap1_final_00000208	hap1	X	2660310	2662353	NChap1_final_00000208	R_salicifolius_00022449	NChap2_final_00025237
253	X	210	9440	NChap1_final_00000210	hap1	X	2699535	2702454	NChap1_final_00000210	R_salicifolius_00022451	NChap2_final_00025234
254	X	211	9443	NChap1_final_00000211	hap1	X	2709181	2710849	NChap1_final_00000211	R_salicifolius_00022450	NChap2_final_00025236
257	X	213	17377	NChap1_final_00000213	hap1	X	2750134	2753132	NChap1_final_00000213	R_salicifolius_00022452	
259	X	214	9450	NChap1_final_00000214	hap1	X	2759555	2762655	NChap1_final_00000214	R_salicifolius_00022453	NChap2_final_00025232
260	X	215	9439	NChap1_final_00000215	hap1	X	2766060	2768296	NChap1_final_00000215	R_salicifolius_00022454	NChap2_final_00025231
261	X	216	17387	NChap1_final_00000216	hap1	X	2766497	2774933	NChap1_final_00000216	R_salicifolius_00022455	
263	X	217	9410	NChap1_final_00000217	hap1	X	2803385	2806695	NChap1_final_00000217	R_salicifolius_00022456	NChap2_final_00025229
267	X	218	9422	NChap1_final_00000218	hap1	X	2833666	2837975	NChap1_final_00000218	R_salicifolius_00022461	NChap2_final_00025228
268	X	219	9414	NChap1_final_00000219	hap1	X	2858642	2861567	NChap1_final_00000219	R_salicifolius_00022462	NChap2_final_00025227
269	X	220	9419	NChap1_final_00000220	hap1	X	2862603	2864656	NChap1_final_00000220	R_salicifolius_00022463	NChap2_final_00025226
272	X	222	9431	NChap1_final_00000222	hap1	X	2873739	2883676	NChap1_final_00000222	R_salicifolius_00022466	NChap2_final_00025224
276	X	225	10769	NChap1_final_00000225	hap1	X	2908238	2909180	NChap1_final_00000225	R_salicifolius_00022468	NChap2_final_00025221
279	X	227	10514	NChap1_final_00000227	hap1	X	2912896	2916984	NChap1_final_00000227	R_salicifolius_00022467	NChap2_final_00025220
281	X	228	10569	NChap1_final_00000228	hap1	X	2918501	2921302	NChap1_final_00000228	R_salicifolius_00022470	NChap2_final_00025219
298	X	237	17364	NChap1_final_00000237	hap1	X	2995102	2996350	NChap1_final_00000237	R_salicifolius_00022481	
303	X	241	9403	NChap1_final_00000241	hap1	X	3044471	3045622	NChap1_final_00000241	R_salicifolius_00022507	NChap2_final_00025211
305	X	243	9396	NChap1_final_00000243	hap1	X	3050908	3052819	NChap1_final_00000243	R_salicifolius_00022482	NChap2_final_00025210
308	X	245	17304	NChap1_final_00000245	hap1	X	3100930	3101527	NChap1_final_00000245	R_salicifolius_00022484	
309	X	246	8502	NChap1_final_00000246	hap1	X	3103904	3105887	NChap1_final_00000246	R_salicifolius_00022485	NChap2_final_00025208
310	X	247	8646	NChap1_final_00000247	hap1	X	3113726	3116754	NChap1_final_00000247	R_salicifolius_00022486	NChap2_final_00025207
312	X	248	8554	NChap1_final_00000248	hap1	X	3119758	3122627	NChap1_final_00000248	R_salicifolius_00022488	NChap2_final_00025206
319	X	254	17322	NChap1_final_00000254	hap1	X	3182625	3184303	NChap1_final_00000254	R_salicifolius_00022489	
320	X	255	12075	NChap1_final_00000255	hap1	X	3192078	3194332	NChap1_final_00000255	R_salicifolius_00022490	NChap2_final_00025203
322	X	257	11727	NChap1_final_00000257	hap1	X	3202645	3204451	NChap1_final_00000257	R_salicifolius_00022491	NChap2_final_00025202
325	X	259	11973	NChap1_final_00000259	hap1	X	3225033	3229155	NChap1_final_00000259	R_salicifolius_00022493	NChap2_final_00025200
327	X	261	11827	NChap1_final_00000261	hap1	X	3269012	3272275	NChap1_final_00000261	R_salicifolius_00022495	NChap2_final_00025198
333	X	271	14288	NChap1_final_00000271	hap1	X	3350020	3350883	NChap1_final_00000271	R_salicifolius_00022497	NChap2_final_00025195
335	X	274	17523	NChap1_final_00000274	hap1	X	3397538	3397910	NChap1_final_00000274	R_salicifolius_00022500	
337	X	276	11239	NChap1_final_00000276	hap1	X	3409419	3414179	NChap1_final_00000276	R_salicifolius_00022503	NChap2_final_00025193
338	X	277	11117	NChap1_final_00000277	hap1	X	3417466	3420519	NChap1_final_00000277	R_salicifolius_00022504	NChap2_final_00025192
339	X	278	11283	NChap1_final_00000278	hap1	X	3419251	3421509	NChap1_final_00000278	R_salicifolius_00022505	NChap2_final_00025191
344	X	285.666666666667	18393	R_salicifolius_00022509	salicifolius	ScaOOZI_6_HRSCAF_9	2159973	2162471		R_salicifolius_00022509	NChap2_final_00025188
345	X	287	17722	NChap1_final_00000287	hap1	X	3539305	3541063	NChap1_final_00000287	R_salicifolius_00022508	
348	X	289	13365	NChap1_final_00000289	hap1	X	3558436	3562768	NChap1_final_00000289	R_salicifolius_00022511	NChap2_final_00025187
352	X	292	17296	NChap1_final_00000292	hap1	X	3646021	3655934	NChap1_final_00000292	R_salicifolius_00022513	
353	X	293	8294	NChap1_final_00000293	hap1	X	3678314	3681681	NChap1_final_00000293	R_salicifolius_00022514	NChap2_final_00025186
356	X	294	9025	NChap1_final_00000294	hap1	X	3699174	3699811	NChap1_final_00000294	R_salicifolius_00022516	NChap2_final_00025184
357	X	295	9238	NChap1_final_00000295	hap1	X	3702909	3704923	NChap1_final_00000295	R_salicifolius_00023679	NChap2_final_00025183
358	X	296	9093	NChap1_final_00000296	hap1	X	3714246	3715009	NChap1_final_00000296	R_salicifolius_00023680	NChap2_final_00025182
374	X	314	14315	NChap1_final_00000314	hap1	X	4060896	4067193	NChap1_final_00000314	R_salicifolius_00023544	NChap2_final_00025149
375	X	315	14318	NChap1_final_00000315	hap1	X	4068590	4073425	NChap1_final_00000315	R_salicifolius_00023514	NChap2_final_00025150
376	X	316	14302	NChap1_final_00000316	hap1	X	4076944	4078668	NChap1_final_00000316	R_salicifolius_00023533	NChap2_final_00025151
377	X	317	14320	NChap1_final_00000317	hap1	X	4078602	4085012	NChap1_final_00000317	R_salicifolius_00023532	NChap2_final_00025152
387	X	327	15016	NChap1_final_00000327	hap1	X	4226459	4228092	NChap1_final_00000327	R_salicifolius_00023537	NChap2_final_00025160
388	X	328	15052	NChap1_final_00000328	hap1	X	4228364	4232513	NChap1_final_00000328	R_salicifolius_00023540	NChap2_final_00025010|NChap2_final_00025161
390	X	330	15061	NChap1_final_00000330	hap1	X	4249308	4259633	NChap1_final_00000330	R_salicifolius_00023543	NChap2_final_00025163
392	X	332	15027	NChap1_final_00000332	hap1	X	4278561	4281718	NChap1_final_00000332	R_salicifolius_00023727	NChap2_final_00025164
405	X	335	14336	NChap1_final_00000335	hap1	X	4306781	4313412	NChap1_final_00000335	R_salicifolius_00023707	NChap2_final_00025166
409	X	336	14360	NChap1_final_00000336	hap1	X	4315883	4320809	NChap1_final_00000336	R_salicifolius_00023708	NChap2_final_00025167
412	X	337	14339	NChap1_final_00000337	hap1	X	4320781	4326693	NChap1_final_00000337	R_salicifolius_00023709	NChap2_final_00025168
424	X	341	14352	NChap1_final_00000341	hap1	X	4370492	4375066	NChap1_final_00000341	R_salicifolius_00023697	NChap2_final_00025171
437	X	345	14848	NChap1_final_00000345	hap1	X	4425670	4427452	NChap1_final_00000345	R_salicifolius_00023688	NChap2_final_00025174
439	X	347	14838	NChap1_final_00000347	hap1	X	4429096	4430909	NChap1_final_00000347	R_salicifolius_00023687	NChap2_final_00025175
441	X	348	14842	NChap1_final_00000348	hap1	X	4433765	4444921	NChap1_final_00000348	R_salicifolius_00023685	NChap2_final_00025176
444	X	349	14852	NChap1_final_00000349	hap1	X	4446183	4447429	NChap1_final_00000349	R_salicifolius_00023684	NChap2_final_00025179
446	X	353	12450	NChap1_final_00000353	hap1	X	4494878	4499280	NChap1_final_00000353	R_salicifolius_00023682	NChap2_final_00025180
447	X	354	12497	NChap1_final_00000354	hap1	X	4517652	4522709	NChap1_final_00000354	R_salicifolius_00023681	NChap2_final_00025181
470	X	373	17863	NChap1_final_00000373	hap1	X	4846186	4846609	NChap1_final_00000373	R_salicifolius_00022361	
483	X	384	14507	NChap1_final_00000384	hap1	X	5089067	5090589	NChap1_final_00000384	R_salicifolius_00022359	NChap2_final_00025117
484	X	385	14510	NChap1_final_00000385	hap1	X	5091798	5096288	NChap1_final_00000385	R_salicifolius_00022358	NChap2_final_00025116
488	X	388	17908	NChap1_final_00000388	hap1	X	5127429	5129238	NChap1_final_00000388	R_salicifolius_00022357	
492	X	390	12622	NChap1_final_00000390	hap1	X	5219700	5223946	NChap1_final_00000390	R_salicifolius_00022355	NChap2_final_00025112
493	X	391	12948	NChap1_final_00000391	hap1	X	5224498	5229338	NChap1_final_00000391	R_salicifolius_00022354	NChap2_final_00025111
494	X	392	12670	NChap1_final_00000392	hap1	X	5252667	5254307	NChap1_final_00000392	R_salicifolius_00022353	NChap2_final_00025110
495	X	393	12727	NChap1_final_00000393	hap1	X	5255979	5259360	NChap1_final_00000393	R_salicifolius_00022350	NChap2_final_00025108
496	X	394	12772	NChap1_final_00000394	hap1	X	5260170	5262095	NChap1_final_00000394	R_salicifolius_00022349	NChap2_final_00025107
497	X	395	12827	NChap1_final_00000395	hap1	X	5263070	5267146	NChap1_final_00000395	R_salicifolius_00022348	NChap2_final_00025106
501	X	397	10965	NChap1_final_00000397	hap1	X	5297430	5298989	NChap1_final_00000397	R_salicifolius_00022345	NChap2_final_00025105
507	X	403	14781	NChap1_final_00000403	hap1	X	5400448	5405842	NChap1_final_00000403	R_salicifolius_00022344	NChap2_final_00025101
511	X	406	14760	NChap1_final_00000406	hap1	X	5434787	5437598	NChap1_final_00000406	R_salicifolius_00022341	NChap2_final_00025098
512	X	407	14798	NChap1_final_00000407	hap1	X	5437883	5440260	NChap1_final_00000407	R_salicifolius_00022340	NChap2_final_00025097
513	X	408	14765	NChap1_final_00000408	hap1	X	5442119	5446014	NChap1_final_00000408	R_salicifolius_00022339	NChap2_final_00025096
514	X	409	14768	NChap1_final_00000409	hap1	X	5447196	5448746	NChap1_final_00000409	R_salicifolius_00022338	NChap2_final_00025095
515	X	410	14801	NChap1_final_00000410	hap1	X	5449340	5452441	NChap1_final_00000410	R_salicifolius_00022337	NChap2_final_00025094
518	X	412	13703	NChap1_final_00000412	hap1	X	5493872	5494770	NChap1_final_00000412	R_salicifolius_00022272	NChap2_final_00025092
519	X	413	13767	NChap1_final_00000413	hap1	X	5499142	5502597	NChap1_final_00000413	R_salicifolius_00022273	NChap2_final_00025091
521	X	414	13829	NChap1_final_00000414	hap1	X	5520893	5524975	NChap1_final_00000414	R_salicifolius_00022275	NChap2_final_00025090
530	X	424	14397	NChap1_final_00000424	hap1	X	5692765	5694518	NChap1_final_00000424	R_salicifolius_00022276	NChap2_final_00025087
531	X	425	14400	NChap1_final_00000425	hap1	X	5695119	5700237	NChap1_final_00000425	R_salicifolius_00022277	NChap2_final_00025086
532	X	426	14384	NChap1_final_00000426	hap1	X	5703389	5706330	NChap1_final_00000426	R_salicifolius_00022278	NChap2_final_00025085
533	X	427	14390	NChap1_final_00000427	hap1	X	5706779	5707738	NChap1_final_00000427	R_salicifolius_00022279	NChap2_final_00025084
534	X	428	17856	NChap1_final_00000428	hap1	X	5709723	5721102	NChap1_final_00000428	R_salicifolius_00022280	
537	X	430	14592	NChap1_final_00000430	hap1	X	5790813	5793124	NChap1_final_00000430	R_salicifolius_00022281	NChap2_final_00025082
538	X	431	14594	NChap1_final_00000431	hap1	X	5794189	5797173	NChap1_final_00000431	R_salicifolius_00022282	NChap2_final_00025081
540	X	433	14597	NChap1_final_00000433	hap1	X	5804134	5805212	NChap1_final_00000433	R_salicifolius_00022283	NChap2_final_00025079
541	X	434	14595	NChap1_final_00000434	hap1	X	5806926	5811149	NChap1_final_00000434	R_salicifolius_00022284	NChap2_final_00025078
542	X	435	14598	NChap1_final_00000435	hap1	X	5811684	5814260	NChap1_final_00000435	R_salicifolius_00022285	NChap2_final_00025077
544	X	436	14596	NChap1_final_00000436	hap1	X	5838137	5841067	NChap1_final_00000436	R_salicifolius_00022287	NChap2_final_00025076
548	X	439	12159	NChap1_final_00000439	hap1	X	5900017	5901715	NChap1_final_00000439	R_salicifolius_00022291	NChap2_final_00025074
553	X	444	14456	NChap1_final_00000444	hap1	X	5995989	5997626	NChap1_final_00000444	R_salicifolius_00022293	NChap2_final_00025071
554	X	445	14446	NChap1_final_00000445	hap1	X	6004709	6008276	NChap1_final_00000445	R_salicifolius_00022294	NChap2_final_00025070
555	X	446	14447	NChap1_final_00000446	hap1	X	6008808	6011561	NChap1_final_00000446	R_salicifolius_00022295	NChap2_final_00025069
559	X	449	17575	NChap1_final_00000449	hap1	X	6115334	6117446	NChap1_final_00000449	R_salicifolius_00022298	
569	X	457	15535	NChap1_final_00000457	hap1	X	6291568	6293555	NChap1_final_00000457	R_salicifolius_00022302	NChap2_final_00025062
573	X	460	15514	NChap1_final_00000460	hap1	X	6313964	6317229	NChap1_final_00000460	R_salicifolius_00022303	NChap2_final_00025060
574	X	461	18182	NChap1_final_00000461	hap1	X	6317466	6319312	NChap1_final_00000461	R_salicifolius_00022304	
575	X	462	15546	NChap1_final_00000462	hap1	X	6319557	6321487	NChap1_final_00000462	R_salicifolius_00022305	NChap2_final_00025059
576	X	463	15527	NChap1_final_00000463	hap1	X	6322921	6325639	NChap1_final_00000463	R_salicifolius_00022306	NChap2_final_00025058
578	X	466	15558	NChap1_final_00000466	hap1	X	6352407	6354731	NChap1_final_00000466	R_salicifolius_00022307	NChap2_final_00025056
579	X	467	15532	NChap1_final_00000467	hap1	X	6358270	6360801	NChap1_final_00000467	R_salicifolius_00022308	NChap2_final_00025055
580	X	468	15560	NChap1_final_00000468	hap1	X	6359080	6365943	NChap1_final_00000468	R_salicifolius_00022309	NChap2_final_00025054
581	X	469	15566	NChap1_final_00000469	hap1	X	6367625	6374385	NChap1_final_00000469	R_salicifolius_00022310	NChap2_final_00025053
583	X	470	14461	NChap1_final_00000470	hap1	X	6385971	6390909	NChap1_final_00000470	R_salicifolius_00022311	NChap2_final_00025051
584	X	471	14462	NChap1_final_00000471	hap1	X	6411273	6416088	NChap1_final_00000471	R_salicifolius_00022312	NChap2_final_00025050
586	X	474	14479	NChap1_final_00000474	hap1	X	6438967	6453310	NChap1_final_00000474	R_salicifolius_00022314	NChap2_final_00025048
589	X	477	14468	NChap1_final_00000477	hap1	X	6474561	6478778	NChap1_final_00000477	R_salicifolius_00022315	NChap2_final_00025047
590	X	478	14469	NChap1_final_00000478	hap1	X	6482704	6484334	NChap1_final_00000478	R_salicifolius_00022316	NChap2_final_00025046
594	X	480	14549	NChap1_final_00000480	hap1	X	6518473	6522050	NChap1_final_00000480	R_salicifolius_00022319	NChap2_final_00025044
595	X	481	14555	NChap1_final_00000481	hap1	X	6520823	6525912	NChap1_final_00000481	R_salicifolius_00022320	NChap2_final_00025043
609	X	495	15111	NChap1_final_00000495	hap1	X	6676491	6685715	NChap1_final_00000495	R_salicifolius_00022323	NChap2_final_00025034
610	X	496	15118	NChap1_final_00000496	hap1	X	6687908	6690994	NChap1_final_00000496	R_salicifolius_00022324	NChap2_final_00025033
612	X	498	15074	NChap1_final_00000498	hap1	X	6702697	6707445	NChap1_final_00000498	R_salicifolius_00022325	NChap2_final_00025031
613	X	499	15081	NChap1_final_00000499	hap1	X	6712706	6714062	NChap1_final_00000499	R_salicifolius_00022326	NChap2_final_00025030
618	X	503	15094	NChap1_final_00000503	hap1	X	6742569	6746245	NChap1_final_00000503	R_salicifolius_00022328	NChap2_final_00025028
619	X	504	15101	NChap1_final_00000504	hap1	X	6747177	6748231	NChap1_final_00000504	R_salicifolius_00022329	NChap2_final_00025027
624	X	509	14539	NChap1_final_00000509	hap1	X	6867788	6874399	NChap1_final_00000509	R_salicifolius_00023085	NChap2_final_00025024
630	X	513	14702	NChap1_final_00000513	hap1	X	6929521	6936106	NChap1_final_00000513	R_salicifolius_00023088	NChap2_final_00025022
638	X	519	14695	NChap1_final_00000519	hap1	X	7040358	7045827	NChap1_final_00000519	R_salicifolius_00023089	NChap2_final_00025016
642	X	524	14441	NChap1_final_00000524	hap1	X	7147772	7153366	NChap1_final_00000524	R_salicifolius_00023084	NChap2_final_00025014
647	X	525	14443	NChap1_final_00000525	hap1	X	7176642	7179007	NChap1_final_00000525	R_salicifolius_00023080	NChap2_final_00025012
649	X	526	14571	NChap1_final_00000526	hap1	X	7207201	7212120	NChap1_final_00000526	R_salicifolius_00023078	NChap2_final_00025011
652	X	528	14579	NChap1_final_00000528	hap1	X	7251690	7254647	NChap1_final_00000528	R_salicifolius_00023076	NChap2_final_00025009
673	X	545	14613	NChap1_final_00000545	hap1	X	7520333	7522090	NChap1_final_00000545	R_salicifolius_00023072	NChap2_final_00024998
675	X	547	14614	NChap1_final_00000547	hap1	X	7549147	7554064	NChap1_final_00000547	R_salicifolius_00023071	NChap2_final_00024996
677	X	548	14615	NChap1_final_00000548	hap1	X	7556520	7561492	NChap1_final_00000548	R_salicifolius_00023069	NChap2_final_00024995
680	X	549	15387	NChap1_final_00000549	hap1	X	7576530	7578284	NChap1_final_00000549	R_salicifolius_00023066	NChap2_final_00024994
681	X	550	15394	NChap1_final_00000550	hap1	X	7583380	7587085	NChap1_final_00000550	R_salicifolius_00023065	NChap2_final_00024993
683	X	551	15399	NChap1_final_00000551	hap1	X	7617229	7620917	NChap1_final_00000551	R_salicifolius_00023064	NChap2_final_00024991
