query_id subject_id per_identity e-value bit_score
NChap1_final_00002596 NChap2_final_00023319-RA 99.085 1.47e-167 590
NChap1_final_00002596 NChap2_final_00023319-RA 100.000 2.73e-90 333
NChap1_final_00002618 NChap2_final_00023303-RA 99.860 0.0 2634
NChap1_final_00002826 NChap2_final_00022427-RA 98.806 4.18e-169 595
NChap1_final_00002826 NChap2_final_00022427-RA 96.764 3.35e-145 516
NChap1_final_00002826 NChap2_final_00022427-RA 96.644 1.35e-64 248
NChap1_final_00002850 NChap2_final_00019907-RA 100.000 7.38e-67 255
NChap1_final_00002851 NChap2_final_00003513-RA 95.918 1.96e-61 237
NChap1_final_00002851 NChap2_final_00003513-RA 91.525 9.70e-15 82.4
NChap1_final_00002851 NChap2_final_00003510-RA 95.918 1.96e-61 237
NChap1_final_00002851 NChap2_final_00003510-RA 91.525 9.70e-15 82.4
NChap1_final_00002854 NChap2_final_00018773-RA 81.149 0.0 1725
NChap1_final_00002854 NChap2_final_00019444-RA 99.561 0.0 1661
NChap1_final_00002854 NChap2_final_00019444-RA 98.462 8.13e-59 230
NChap1_final_00002854 NChap2_final_00019442-RA 98.297 0.0 721
NChap1_final_00002898 NChap2_final_00023207-RA 97.288 5.94e-141 501
NChap1_final_00002898 NChap2_final_00023207-RA 96.907 3.19e-39 163
NChap1_final_00002898 NChap2_final_00023202-RA 87.500 1.66e-136 486
NChap1_final_00002898 NChap2_final_00023201-RA 97.368 1.74e-106 387
NChap1_final_00002898 NChap2_final_00023201-RA 94.488 3.14e-49 196
NChap1_final_00002966 NChap2_final_00022365-RA 97.847 0.0 881
NChap1_final_00002966 NChap2_final_00022365-RA 97.925 0.0 833
NChap1_final_00002966 NChap2_final_00022365-RA 99.129 0.0 826
NChap1_final_00002966 NChap2_final_00022365-RA 99.279 0.0 752
NChap1_final_00003190 NChap2_final_00015078-RA 86.441 6.78e-10 65.8
NChap1_final_00003244 NChap2_final_00006899-RA 81.395 3.99e-11 69.4
NChap1_final_00003288 NChap2_final_00023226-RA 95.822 1.34e-176 619
NChap1_final_00003322 NChap2_final_00023240-RA 98.246 4.16e-170 599
NChap1_final_00003322 NChap2_final_00023240-RA 97.000 1.39e-40 169
NChap1_final_00003352 NChap2_final_00022751-RA 98.771 0.0 1158
NChap1_final_00003353 NChap2_final_00022750-RA 98.606 0.0 1016
NChap1_final_00003353 NChap2_final_00022750-RA 94.787 1.95e-87 324
NChap1_final_00003353 NChap2_final_00022750-RA 96.094 5.69e-53 209
NChap1_final_00003353 NChap2_final_00022750-RA 99.029 9.59e-46 185
NChap1_final_00003353 NChap2_final_00022750-RA 94.545 1.00e-15 86.1
NChap1_final_00003404 NChap2_final_00008473-RA 77.633 2.51e-108 394
NChap1_final_00003404 NChap2_final_00008475-RA 78.810 2.75e-43 178
NChap1_final_00003406 NChap2_final_00019494-RA 96.653 7.15e-110 398
NChap1_final_00003411 NChap2_final_00010096-RA 80.292 0.0 1164
NChap1_final_00003411 NChap2_final_00007212-RA 78.406 0.0 989
NChap1_final_00003418 NChap2_final_00010101-RA 83.534 0.0 693
NChap1_final_00003455 NChap2_final_00010161-RA 75.260 0.0 702
NChap1_final_00003471 NChap2_final_00010166-RA 78.125 7.68e-102 372
NChap1_final_00003477 NChap2_final_00028691-RA 82.692 0.0 1938
NChap1_final_00003477 NChap2_final_00020446-RA 98.618 1.63e-105 385
NChap1_final_00003508 NChap2_final_00010195-RA 79.990 0.0 1437
NChap1_final_00003508 NChap2_final_00007739-RA 95.000 2.48e-18 95.3
NChap1_final_00003508 NChap2_final_00028226-RA 95.000 2.48e-18 95.3
NChap1_final_00003508 NChap2_final_00011361-RA 100.000 3.20e-17 91.6
NChap1_final_00003508 NChap2_final_00028398-RA 97.619 1.16e-11 73.1
NChap1_final_00003527 NChap2_final_00019680-RA 97.030 1.26e-41 171
NChap1_final_00003641 NChap2_final_00015566-RA 72.009 5.51e-125 449
NChap1_final_00003653 NChap2_final_00022863-RA 98.276 9.25e-112 405
NChap1_final_00003653 NChap2_final_00022864-RA 97.845 4.31e-110 399
NChap1_final_00003653 NChap2_final_00001227-RA 92.308 2.96e-12 75.0
NChap1_final_00003656 NChap2_final_00016887-RA 83.914 1.52e-97 357
NChap1_final_00003658 NChap2_final_00014804-RA 92.308 1.25e-34 148
NChap1_final_00003658 NChap2_final_00014804-RA 82.400 1.28e-19 99.0
NChap1_final_00003658 NChap2_final_00014804-RA 84.127 1.67e-08 62.1
NChap1_final_00003662 NChap2_final_00007957-RA 97.059 1.41e-07 58.4
NChap1_final_00003717 NChap2_final_00008596-RA 85.714 8.83e-17 89.8
NChap1_final_00003718 NChap2_final_00008596-RA 85.714 6.89e-17 89.8
NChap1_final_00003760 NChap2_final_00008577-RA 77.672 5.53e-82 305
NChap1_final_00003771 NChap2_final_00015414-RA 75.033 0.0 662
NChap1_final_00003776 NChap2_final_00016785-RA 79.477 0.0 1096
NChap1_final_00003843 NChap2_final_00009200-RA 78.385 0.0 1048
NChap1_final_00003843 NChap2_final_00020109-RA 97.619 5.49e-163 575
NChap1_final_00003843 NChap2_final_00020109-RA 96.654 1.25e-124 448
NChap1_final_00003852 NChap2_final_00014194-RA 95.833 1.26e-13 78.7
NChap1_final_00003910 NChap2_final_00009146-RA 90.210 8.08e-46 185
NChap1_final_00003910 NChap2_final_00013784-RA 98.507 8.32e-26 119
NChap1_final_00004092 NChap2_final_00021705-RA 99.682 0.0 1725
NChap1_final_00004092 NChap2_final_00021705-RA 98.095 2.43e-45 183
NChap1_final_00004103 NChap2_final_00002157-RA 82.545 0.0 1367
NChap1_final_00004103 NChap2_final_00021697-RA 99.719 0.0 1306
NChap1_final_00004103 NChap2_final_00021697-RA 98.858 0.0 782
NChap1_final_00004103 NChap2_final_00021697-RA 99.254 0.0 726
NChap1_final_00004103 NChap2_final_00021702-RA 89.634 0.0 1044
NChap1_final_00004103 NChap2_final_00021702-RA 90.832 3.52e-179 628
NChap1_final_00004103 NChap2_final_00023217-RA 74.706 0.0 645
NChap1_final_00004103 NChap2_final_00021698-RA 86.512 8.98e-61 235
NChap1_final_00004129 NChap2_final_00015550-RA 97.685 0.0 1485
NChap1_final_00004129 NChap2_final_00001625-RA 97.826 0.0 953
NChap1_final_00004129 NChap2_final_00001625-RA 97.024 1.64e-75 283
NChap1_final_00004129 NChap2_final_00001625-RA 97.333 8.14e-29 128
NChap1_final_00004129 NChap2_final_00022670-RA 98.969 0.0 869
NChap1_final_00004129 NChap2_final_00015368-RA 90.761 0.0 725
NChap1_final_00004129 NChap2_final_00015368-RA 97.778 8.31e-14 78.7
NChap1_final_00004129 NChap2_final_00015549-RA 95.142 1.22e-106 387
NChap1_final_00004129 NChap2_final_00015549-RA 96.465 7.48e-89 327
NChap1_final_00004129 NChap2_final_00015549-RA 97.283 2.09e-84 313
NChap1_final_00004129 NChap2_final_00022671-RA 98.148 1.64e-75 283
NChap1_final_00004129 NChap2_final_00022671-RA 100.000 1.35e-31 137
NChap1_final_00004129 NChap2_final_00022671-RA 98.571 1.05e-27 124
NChap1_final_00004195 NChap2_final_00019666-RA 99.340 0.0 1921
NChap1_final_00004195 NChap2_final_00010958-RA 88.210 1.46e-72 274
NChap1_final_00004195 NChap2_final_00019665-RA 99.187 5.38e-57 222
NChap1_final_00004321 NChap2_final_00019565-RA 99.349 1.63e-157 556
NChap1_final_00004321 NChap2_final_00019565-RA 98.870 3.01e-85 316
NChap1_final_00004321 NChap2_final_00019565-RA 97.159 1.41e-78 294
NChap1_final_00004337 NChap2_final_00010302-RA 77.761 0.0 1184
NChap1_final_00004392 NChap2_final_00028354-RA 83.266 0.0 1347
NChap1_final_00004392 NChap2_final_00022345-RA 98.896 0.0 809
NChap1_final_00004392 NChap2_final_00022345-RA 98.958 3.73e-145 516
NChap1_final_00004392 NChap2_final_00022345-RA 94.118 6.75e-88 326
NChap1_final_00004392 NChap2_final_00022345-RA 98.286 2.45e-82 307
NChap1_final_00004392 NChap2_final_00022345-RA 97.674 2.70e-12 75.0
NChap1_final_00004393 NChap2_final_00028339-RA 78.510 0.0 1581
NChap1_final_00004393 NChap2_final_00022348-RA 98.271 0.0 1317
NChap1_final_00004393 NChap2_final_00022348-RA 99.448 8.55e-89 329
NChap1_final_00004393 NChap2_final_00022350-RA 98.865 0.0 1256
NChap1_final_00004393 NChap2_final_00024712-RA 77.893 2.30e-114 414
NChap1_final_00004414 NChap2_final_00022824-RA 96.559 0.0 763
NChap1_final_00004414 NChap2_final_00022824-RA 100.000 6.38e-119 427
NChap1_final_00004461 NChap2_final_00021821-RA 91.837 1.45e-147 523
NChap1_final_00004461 NChap2_final_00021821-RA 97.087 1.68e-42 174
NChap1_final_00004461 NChap2_final_00015658-RA 93.496 1.56e-97 357
NChap1_final_00004461 NChap2_final_00009402-RA 96.809 1.70e-37 158
NChap1_final_00004461 NChap2_final_00006498-RA 95.455 8.17e-11 69.4
NChap1_final_00004572 NChap2_final_00004651-RA 78.754 1.37e-128 460
NChap1_final_00004572 NChap2_final_00004651-RA 79.396 5.08e-108 392
NChap1_final_00004639 NChap2_final_00021869-RA 99.371 6.80e-77 289
NChap1_final_00004639 NChap2_final_00021869-RA 95.327 9.24e-41 169
NChap1_final_00004675 NChap2_final_00020641-RA 95.333 0.0 708
NChap1_final_00004675 NChap2_final_00020641-RA 96.757 3.81e-83 309
NChap1_final_00004675 NChap2_final_00020640-RA 95.333 0.0 708
NChap1_final_00004675 NChap2_final_00020640-RA 96.791 2.95e-84 313
NChap1_final_00004675 NChap2_final_00000907-RA 80.709 3.68e-108 392
NChap1_final_00004728 NChap2_final_00014700-RA 73.883 5.11e-24 113
NChap1_final_00004730 NChap2_final_00023082-RA 96.392 1.36e-86 320
NChap1_final_00004730 NChap2_final_00023082-RA 97.826 1.41e-61 237
NChap1_final_00004746 NChap2_final_00010056-RA 85.802 9.20e-144 510
NChap1_final_00004747 NChap2_final_00005964-RA 79.502 0.0 739
NChap1_final_00004747 NChap2_final_00007252-RA 77.321 1.48e-121 436
NChap1_final_00004786 NChap2_final_00025293-RA 71.795 6.90e-36 152
NChap1_final_00004827 NChap2_final_00028886-RA 85.714 2.71e-69 263
NChap1_final_00004827 NChap2_final_00027139-RA 82.677 1.04e-23 111
NChap1_final_00004925 NChap2_final_00021942-RA 98.077 8.58e-45 182
NChap1_final_00004925 NChap2_final_00021942-RA 93.519 1.12e-38 161
NChap1_final_00004925 NChap2_final_00021942-RA 98.810 8.71e-35 148
NChap1_final_00004974 NChap2_final_00026179-RA 75.285 0.0 1098
NChap1_final_00004974 NChap2_final_00026179-RA 75.148 0.0 1072
NChap1_final_00004974 NChap2_final_00019422-RA 97.640 2.53e-164 580
NChap1_final_00004991 NChap2_final_00002807-RA 99.331 0.0 1083
NChap1_final_00004991 NChap2_final_00025468-RA 98.997 0.0 1072
NChap1_final_00004991 NChap2_final_00010647-RA 98.524 0.0 952
NChap1_final_00004998 NChap2_final_00026188-RA 85.959 0.0 3236
NChap1_final_00004998 NChap2_final_00026188-RA 85.307 0.0 974
NChap1_final_00004998 NChap2_final_00026188-RA 86.909 1.65e-82 309
NChap1_final_00005015 NChap2_final_00020696-RA 98.413 0.0 776
NChap1_final_00005015 NChap2_final_00020696-RA 93.811 2.09e-125 449
NChap1_final_00005038 NChap2_final_00026160-RA 86.534 9.36e-123 442
NChap1_final_00005038 NChap2_final_00026160-RA 85.600 7.82e-69 263
NChap1_final_00005049 NChap2_final_00006840-RA 83.019 2.33e-76 287
NChap1_final_00005052 NChap2_final_00018357-RA 100.000 3.70e-08 60.2
NChap1_final_00005061 NChap2_final_00002958-RA 91.509 8.82e-122 436
NChap1_final_00005061 NChap2_final_00002958-RA 86.239 7.11e-93 340
NChap1_final_00005061 NChap2_final_00000513-RA 90.459 7.01e-103 374
NChap1_final_00005061 NChap2_final_00000513-RA 89.474 3.36e-81 302
NChap1_final_00005067 NChap2_final_00021774-RA 98.093 0.0 822
NChap1_final_00005067 NChap2_final_00021774-RA 99.656 4.01e-150 532
NChap1_final_00005067 NChap2_final_00021774-RA 99.130 2.76e-52 207
NChap1_final_00005067 NChap2_final_00021774-RA 99.123 9.92e-52 206
NChap1_final_00005119 NChap2_final_00020064-RA 98.733 0.0 1543
NChap1_final_00005119 NChap2_final_00016722-RA 83.099 0.0 1399
NChap1_final_00005119 NChap2_final_00000877-RA 82.456 0.0 1232
NChap1_final_00005235 NChap2_final_00017943-RA 94.171 0.0 1173
NChap1_final_00005235 NChap2_final_00020079-RA 92.832 0.0 806
NChap1_final_00005235 NChap2_final_00023193-RA 97.136 0.0 708
NChap1_final_00005235 NChap2_final_00023193-RA 99.278 9.92e-141 501
NChap1_final_00005235 NChap2_final_00023193-RA 100.000 5.09e-69 263
NChap1_final_00005235 NChap2_final_00017549-RA 92.571 1.10e-65 252
NChap1_final_00005309 NChap2_final_00022181-RA 100.000 2.01e-06 54.7
NChap1_final_00005337 NChap2_final_00025019-RA 97.590 5.64e-34 143
NChap1_final_00005506 NChap2_final_00020216-RA 100.000 0.0 1240
NChap1_final_00005554 NChap2_final_00020827-RA 100.000 1.63e-49 198
NChap1_final_00005554 NChap2_final_00020825-RA 100.000 3.58e-36 154
NChap1_final_00005705 NChap2_final_00020346-RA 95.805 0.0 941
NChap1_final_00005705 NChap2_final_00000919-RA 97.059 1.66e-59 230
NChap1_final_00005940 NChap2_final_00020032-RA 98.706 0.0 1369
NChap1_final_00005940 NChap2_final_00020032-RA 100.000 1.06e-14 82.4
NChap1_final_00006013 NChap2_final_00014229-RA 78.561 0.0 863
NChap1_final_00006016 NChap2_final_00022122-RA 96.495 0.0 706
NChap1_final_00006016 NChap2_final_00022122-RA 91.327 4.74e-144 512
NChap1_final_00006016 NChap2_final_00022122-RA 97.778 3.00e-106 387
NChap1_final_00006080 NChap2_final_00015225-RA 81.066 0.0 1151
NChap1_final_00006143 NChap2_final_00015007-RA 84.211 4.91e-73 276
NChap1_final_00006143 NChap2_final_00008596-RA 87.821 3.96e-44 180
NChap1_final_00006143 NChap2_final_00003710-RA 81.609 8.95e-11 69.4
NChap1_final_00006355 NChap2_final_00022959-RA 99.177 4.66e-122 438
NChap1_final_00006357 NChap2_final_00011380-RA 82.407 1.71e-17 91.6
NChap1_final_00006357 NChap2_final_00023609-RA 97.059 6.22e-07 56.5
NChap1_final_00006359 NChap2_final_00022958-RA 99.560 0.0 2900
NChap1_final_00006359 NChap2_final_00015912-RA 81.321 0.0 1138
NChap1_final_00006393 NChap2_final_00022937-RA 95.292 0.0 959
NChap1_final_00006414 NChap2_final_00021758-RA 97.555 0.0 2093
NChap1_final_00006542 NChap2_final_00001355-RA 88.454 0.0 647
NChap1_final_00006542 NChap2_final_00021034-RA 100.000 1.48e-179 628
NChap1_final_00006613 NChap2_final_00020980-RA 99.425 1.43e-180 632
NChap1_final_00006767 NChap2_final_00021232-RA 99.461 0.0 1685
NChap1_final_00006994 NChap2_final_00021418-RA 99.547 0.0 1206
NChap1_final_00006994 NChap2_final_00021418-RA 98.483 0.0 1160
NChap1_final_00007496 NChap2_final_00019049-RA 99.465 0.0 1358
NChap1_final_00007496 NChap2_final_00019049-RA 98.039 3.71e-17 89.8
NChap1_final_00007541 NChap2_final_00019100-RA 100.000 2.17e-156 551
NChap1_final_00007566 NChap2_final_00018945-RA 84.118 0.0 1404
NChap1_final_00007611 NChap2_final_00012868-RA 83.827 0.0 2525
NChap1_final_00007611 NChap2_final_00018908-RA 99.851 0.0 2471
NChap1_final_00007611 NChap2_final_00018908-RA 99.495 0.0 1081
NChap1_final_00007611 NChap2_final_00018908-RA 100.000 5.84e-85 316
NChap1_final_00007611 NChap2_final_00018908-RA 100.000 3.64e-57 224
NChap1_final_00007611 NChap2_final_00018908-RA 100.000 2.21e-49 198
NChap1_final_00008033 NChap2_final_00018556-RA 99.550 0.0 809
NChap1_final_00008215 NChap2_final_00018425-RA 99.363 0.0 1423
NChap1_final_00008215 NChap2_final_00018425-RA 99.531 8.22e-107 388
NChap1_final_00008414 NChap2_final_00018253-RA 100.000 6.35e-86 316
NChap1_final_00008414 NChap2_final_00018252-RA 99.383 2.98e-79 294
NChap1_final_00008414 NChap2_final_00018252-RA 100.000 9.01e-20 97.1
NChap1_final_00008530 NChap2_final_00018166-RA 100.000 0.0 1079
NChap1_final_00008530 NChap2_final_00018166-RA 100.000 2.53e-08 60.2
NChap1_final_00008530 NChap2_final_00012097-RA 79.468 1.74e-94 346
NChap1_final_00008595 NChap2_final_00018118-RA 99.838 0.0 1136
NChap1_final_00008595 NChap2_final_00018119-RA 100.000 0.0 819
NChap1_final_00008595 NChap2_final_00008209-RA 79.950 4.01e-164 579
NChap1_final_00008849 NChap2_final_00017898-RA 99.550 0.0 809
NChap1_final_00008849 NChap2_final_00017898-RA 99.245 1.58e-134 479
NChap1_final_00008849 NChap2_final_00023687-RA 86.304 1.22e-140 499
NChap1_final_00008861 NChap2_final_00017890-RA 98.624 4.86e-107 387
NChap1_final_00009053 NChap2_final_00017748-RA 100.000 4.65e-157 555
NChap1_final_00009053 NChap2_final_00017748-RA 98.519 5.32e-62 239
NChap1_final_00009053 NChap2_final_00017748-RA 100.000 1.17e-48 195
NChap1_final_00009239 NChap2_final_00017592-RA 99.823 0.0 4146
NChap1_final_00009239 NChap2_final_00017592-RA 97.849 2.34e-38 161
NChap1_final_00009307 NChap2_final_00017526-RA 98.020 0.0 870
NChap1_final_00009307 NChap2_final_00017526-RA 94.590 0.0 806
NChap1_final_00009307 NChap2_final_00017526-RA 100.000 3.15e-74 279
NChap1_final_00009327 NChap2_final_00017514-RA 99.100 0.0 1598
NChap1_final_00009386 NChap2_final_00017466-RA 100.000 0.0 1807
NChap1_final_00009403 NChap2_final_00017454-RA 100.000 0.0 2460
NChap1_final_00009403 NChap2_final_00017454-RA 99.666 1.06e-154 547
NChap1_final_00009404 NChap2_final_00017454-RA 99.762 0.0 2311
NChap1_final_00009404 NChap2_final_00017454-RA 99.436 0.0 966
NChap1_final_00009404 NChap2_final_00017454-RA 98.438 6.78e-58 226
NChap1_final_00009404 NChap2_final_00003385-RA 97.561 3.36e-11 71.3
NChap1_final_00009543 NChap2_final_00017331-RA 99.563 0.0 4172
NChap1_final_00009543 NChap2_final_00017331-RA 100.000 2.13e-143 510
NChap1_final_00009544 NChap2_final_00017329-RA 99.476 0.0 695
NChap1_final_00009544 NChap2_final_00017329-RA 98.658 1.15e-69 265
NChap1_final_00009544 NChap2_final_00017330-RA 99.490 1.84e-97 357
NChap1_final_00009544 NChap2_final_00020342-RA 72.163 5.70e-23 110
NChap1_final_00009589 NChap2_final_00017298-RA 89.024 1.32e-51 202
NChap1_final_00009589 NChap2_final_00017298-RA 100.000 2.25e-34 145
NChap1_final_00009589 NChap2_final_00017296-RA 97.436 4.87e-31 134
NChap1_final_00009629 NChap2_final_00017270-RA 99.709 4.87e-180 630
NChap1_final_00009629 NChap2_final_00017270-RA 98.936 4.59e-41 169
NChap1_final_00009629 NChap2_final_00026455-RA 77.742 7.01e-104 377
NChap1_final_00009631 NChap2_final_00017264-RA 96.923 0.0 857
NChap1_final_00009666 NChap2_final_00017233-RA 100.000 1.40e-177 621
NChap1_final_00009673 NChap2_final_00017229-RA 100.000 4.31e-18 91.6
NChap1_final_00009714 NChap2_final_00017198-RA 99.834 0.0 2220
NChap1_final_00009938 NChap2_final_00017045-RA 99.550 0.0 2833
NChap1_final_00009938 NChap2_final_00009249-RA 76.517 0.0 680
NChap1_final_00009940 NChap2_final_00017044-RA 99.522 0.0 761
NChap1_final_00010160 NChap2_final_00016883-RA 100.000 0.0 3363
NChap1_final_00010193 NChap2_final_00016849-RA 98.430 0.0 782
NChap1_final_00010207 NChap2_final_00016842-RA 99.616 0.0 2854
NChap1_final_00010208 NChap2_final_00016842-RA 99.486 0.0 2828
NChap1_final_00010208 NChap2_final_00016842-RA 92.500 8.23e-07 56.5
NChap1_final_00010261 NChap2_final_00016793-RA 98.866 0.0 2662
NChap1_final_00010307 NChap2_final_00016760-RA 99.286 0.0 1013
NChap1_final_00010338 NChap2_final_00016744-RA 99.630 0.0 1480
NChap1_final_00010372 NChap2_final_00016716-RA 97.707 0.0 1932
NChap1_final_00010402 NChap2_final_00016693-RA 75.842 3.92e-61 237
NChap1_final_00010409 NChap2_final_00016685-RA 100.000 0.0 928
NChap1_final_00010417 NChap2_final_00016678-RA 99.523 0.0 763
NChap1_final_00010458 NChap2_final_00016649-RA 99.524 1.90e-105 383
NChap1_final_00010458 NChap2_final_00016649-RA 99.454 1.94e-90 333
NChap1_final_00010471 NChap2_final_00016629-RA 99.398 4.28e-81 302
NChap1_final_00010567 NChap2_final_00016575-RA 99.476 0.0 2080
NChap1_final_00010567 NChap2_final_00008314-RA 84.475 0.0 898
NChap1_final_00010568 NChap2_final_00016575-RA 100.000 0.0 1799
NChap1_final_00010816 NChap2_final_00016359-RA 96.491 0.0 1869
NChap1_final_00010900 NChap2_final_00016293-RA 99.866 0.0 2748
NChap1_final_00010900 NChap2_final_00016293-RA 99.259 1.56e-63 244
NChap1_final_00010900 NChap2_final_00008895-RA 75.485 0.0 658
NChap1_final_00010902 NChap2_final_00016293-RA 97.909 0.0 2385
NChap1_final_00010902 NChap2_final_00016207-RA 75.353 4.20e-118 425
NChap1_final_00010971 NChap2_final_00016208-RA 99.451 0.0 1323
NChap1_final_00010996 NChap2_final_00016190-RA 99.458 0.0 1341
NChap1_final_00011002 NChap2_final_00016186-RA 100.000 0.0 2056
NChap1_final_00011009 NChap2_final_00016183-RA 100.000 0.0 2826
NChap1_final_00011137 NChap2_final_00016066-RA 99.758 0.0 1519
NChap1_final_00011162 NChap2_final_00016042-RA 99.544 0.0 1596
NChap1_final_00011224 NChap2_final_00015989-RA 100.000 0.0 1698
NChap1_final_00011224 NChap2_final_00015989-RA 100.000 2.55e-70 267
NChap1_final_00011245 NChap2_final_00015972-RA 99.700 4.56e-174 610
