"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2"
"16",220,"X",182,17182,"NChap1_final_00000182","hap1","X",2272199,2275981,"NChap1_final_00000182","R_salicifolius_00022429",""
"17",224,"X",185,17266,"NChap1_final_00000185","hap1","X",2302330,2305035,"NChap1_final_00000185","R_salicifolius_00022432",""
"18",226,"X",186,17272,"NChap1_final_00000186","hap1","X",2306780,2309863,"NChap1_final_00000186","R_salicifolius_00022433",""
"19",231,"X",191,17279,"NChap1_final_00000191","hap1","X",2341029,2343264,"NChap1_final_00000191","R_salicifolius_00022436",""
"20",257,"X",213,17377,"NChap1_final_00000213","hap1","X",2750134,2753132,"NChap1_final_00000213","R_salicifolius_00022452",""
"21",261,"X",216,17387,"NChap1_final_00000216","hap1","X",2766497,2774933,"NChap1_final_00000216","R_salicifolius_00022455",""
"22",290,"X",232,17473,"NChap1_final_00000232","hap1","X",2946780,2950309,"NChap1_final_00000232","R_salicifolius_00022476",""
"23",298,"X",237,17364,"NChap1_final_00000237","hap1","X",2995102,2996350,"NChap1_final_00000237","R_salicifolius_00022481",""
"24",306,"X",244,17299,"NChap1_final_00000244","hap1","X",3079689,3099843,"NChap1_final_00000244","R_salicifolius_00022483",""
"25",308,"X",245,17304,"NChap1_final_00000245","hap1","X",3100930,3101527,"NChap1_final_00000245","R_salicifolius_00022484",""
"26",319,"X",254,17322,"NChap1_final_00000254","hap1","X",3182625,3184303,"NChap1_final_00000254","R_salicifolius_00022489",""
"27",335,"X",274,17523,"NChap1_final_00000274","hap1","X",3397538,3397910,"NChap1_final_00000274","R_salicifolius_00022500",""
"28",345,"X",287,17722,"NChap1_final_00000287","hap1","X",3539305,3541063,"NChap1_final_00000287","R_salicifolius_00022508",""
"29",352,"X",292,17296,"NChap1_final_00000292","hap1","X",3646021,3655934,"NChap1_final_00000292","R_salicifolius_00022513",""
"30",470,"X",373,17863,"NChap1_final_00000373","hap1","X",4846186,4846609,"NChap1_final_00000373","R_salicifolius_00022361",""
"31",488,"X",388,17908,"NChap1_final_00000388","hap1","X",5127429,5129238,"NChap1_final_00000388","R_salicifolius_00022357",""
"32",534,"X",428,17856,"NChap1_final_00000428","hap1","X",5709723,5721102,"NChap1_final_00000428","R_salicifolius_00022280",""
"33",547,"X",438,17952,"NChap1_final_00000438","hap1","X",5867115,5867796,"NChap1_final_00000438","R_salicifolius_00022290",""
"34",557,"X",447,17886,"NChap1_final_00000447","hap1","X",6063984,6064719,"NChap1_final_00000447","R_salicifolius_00022297",""
"35",559,"X",449,17575,"NChap1_final_00000449","hap1","X",6115334,6117446,"NChap1_final_00000449","R_salicifolius_00022298",""
"36",574,"X",461,18182,"NChap1_final_00000461","hap1","X",6317466,6319312,"NChap1_final_00000461","R_salicifolius_00022304",""
"37",779,"X",633.222222222222,18073,"NChap1_final_00000632","hap1","X",8632150,8633136,"NChap1_final_00000632","R_salicifolius_00023304",""
"38",850,"X",694,18135,"NChap1_final_00000694","hap1","X",10036694,10037906,"NChap1_final_00000694","R_salicifolius_00023268",""
"39",881,"X",718,18211,"NChap1_final_00000718","hap1","X",10587678,10590869,"NChap1_final_00000718","R_salicifolius_00023249",""
"40",884,"X",721,18212,"NChap1_final_00000721","hap1","X",10606089,10607018,"NChap1_final_00000721","R_salicifolius_00023252",""
"41",918,"X",751,18217,"NChap1_final_00000751","hap1","X",11128204,11133343,"NChap1_final_00000751","R_salicifolius_00023233",""
"42",952,"X",773,18194,"NChap1_final_00000773","hap1","X",11574370,11575770,"NChap1_final_00000773","R_salicifolius_00023211",""
"43",955,"X",776,18196,"NChap1_final_00000776","hap1","X",11586452,11586991,"NChap1_final_00000776","R_salicifolius_00023208",""
"44",974,"X",796,18221,"NChap1_final_00000796","hap1","X",11905275,11907680,"NChap1_final_00000796","R_salicifolius_00023140",""
"45",993,"X",810,18197,"NChap1_final_00000810","hap1","X",12055872,12061083,"NChap1_final_00000810","R_salicifolius_00023145",""
"46",1009,"X",820,18234,"NChap1_final_00000820","hap1","X",12271667,12274149,"NChap1_final_00000820","R_salicifolius_00023163",""
"47",1063,"X",863,18205,"NChap1_final_00000863","hap1","X",12996841,12997600,"NChap1_final_00000863","R_salicifolius_00023192",""
"48",1091,"X",883,16913,"NChap1_final_00000883","hap1","X",13324115,13327882,"NChap1_final_00000883","R_salicifolius_00023126",""
"49",1209,"X",963,17825,"NChap1_final_00000963","hap1","X",14886818,14889494,"NChap1_final_00035347|NChap1_final_00000963","R_salicifolius_00023397",""
"50",1322,"X",1030,18236,"NChap1_final_00001030","hap1","X",16133124,16134751,"NChap1_final_00001030","R_salicifolius_00023628",""
"51",1376,"X",1060,16968,"NChap1_final_00001060","hap1","X",16539327,16542440,"NChap1_final_00001060","R_salicifolius_00023573",""
"52",1390,"X",1070,16904,"NChap1_final_00001070","hap1","X",16706512,16709212,"NChap1_final_00001070","R_salicifolius_00023568",""
"53",1519,"X",1212,16978,"NChap1_final_00001212","hap1","X",20491086,20493708,"NChap1_final_00001212","R_salicifolius_00023030",""
"54",1542,"X",1229,16990,"NChap1_final_00001229","hap1","X",20764016,20768090,"NChap1_final_00001229","R_salicifolius_00023023",""
"55",1544,"X",1230,16998,"NChap1_final_00001230","hap1","X",20784431,20786283,"NChap1_final_00001230","R_salicifolius_00023022",""
"56",1574,"X",1256,16977,"NChap1_final_00001256","hap1","X",21268610,21269681,"NChap1_final_00001256","R_salicifolius_00023003",""
"57",1643,"X",1307,17008,"NChap1_final_00001307","hap1","X",22500628,22501741,"NChap1_final_00001307","R_salicifolius_00023053",""
"58",1775,"X",1401,17061,"NChap1_final_00001401","hap1","X",25812390,25815590,"NChap1_final_00001401","R_salicifolius_00022951",""
"59",1777,"X",1402,17062,"NChap1_final_00001402","hap1","X",25825286,25828511,"NChap1_final_00001402","R_salicifolius_00022950",""
"60",1795,"X",1418,17073,"NChap1_final_00001418","hap1","X",26201466,26206423,"NChap1_final_00001418","R_salicifolius_00022943",""
"61",1890,"X",1488,17065,"NChap1_final_00001488","hap1","X",27969627,27975136,"NChap1_final_00001488","R_salicifolius_00022913",""
"62",1934,"X",1516,17102,"NChap1_final_00001516","hap1","X",29181833,29182406,"NChap1_final_00001516","R_salicifolius_00022888",""
"63",1986,"X",1554,17095,"NChap1_final_00001554","hap1","X",30157654,30162264,"NChap1_final_00001554","R_salicifolius_00022873",""
"64",2055,"X",1605,17098,"NChap1_final_00001605","hap1","X",31954161,31960950,"NChap1_final_00001605","R_salicifolius_00022850",""
"65",2168,"X",1688,17129,"NChap1_final_00001688","hap1","X",34792388,34793617,"NChap1_final_00001688","R_salicifolius_00022832",""
"66",2175,"X",1692,17108,"NChap1_final_00001692","hap1","X",35066679,35067972,"NChap1_final_00001692","R_salicifolius_00022835",""
"67",2178,"X",1693,17120,"NChap1_final_00001693","hap1","X",35092374,35094024,"NChap1_final_00001693","R_salicifolius_00022837",""
"68",2180,"X",1696,17121,"NChap1_final_00001696","hap1","X",35174593,35178209,"NChap1_final_00001696","R_salicifolius_00022840",""
"69",2299,"X",1800,17165,"NChap1_final_00001800","hap1","X",38728428,38729574,"NChap1_final_00001800","R_salicifolius_00022735",""
"70",2307,"X",1806,17158,"NChap1_final_00001806","hap1","X",38894353,38894854,"NChap1_final_00001806","R_salicifolius_00022731",""
"71",2317,"X",1816,17173,"NChap1_final_00001816","hap1","X",39089816,39091107,"NChap1_final_00001816","R_salicifolius_00022725",""
"72",2345,"X",1836,17153,"NChap1_final_00001836","hap1","X",39843252,39846497,"NChap1_final_00001836","R_salicifolius_00022711",""
"73",2528,"X",1981,17214,"NChap1_final_00001981","hap1","X",45268184,45273469,"NChap1_final_00001981","R_salicifolius_00022642",""
"74",2571,"X",2020,17201,"NChap1_final_00002020","hap1","X",46261722,46263471,"NChap1_final_00002020","R_salicifolius_00022623|R_salicifolius_00022740",""
"75",2584,"X",2029,17181,"NChap1_final_00002029","hap1","X",46642373,46644072,"NChap1_final_00002029","R_salicifolius_00022615",""
"76",2772,"X",2182,17227,"NChap1_final_00002182","hap1","X",52989664,52991806,"NChap1_final_00002182","R_salicifolius_00022535",""
"77",2789,"X",2197,17220,"NChap1_final_00002197","hap1","X",53901873,53931969,"NChap1_final_00002197","R_salicifolius_00022543",""
"78",2838,"X",2229,17242,"NChap1_final_00002229","hap1","X",54852060,54856212,"NChap1_final_00002229","R_salicifolius_00023664",""
"79",2902,"X",2264,17258,"NChap1_final_00002264","hap1","X",55947424,55951160,"NChap1_final_00002264","R_salicifolius_00023739",""
"80",2926,"X",2270,17239,"NChap1_final_00002270","hap1","X",56217782,56220551,"NChap1_final_00002270","R_salicifolius_00023716",""
"81",3103,"X",2390,17281,"NChap1_final_00002390","hap1","X",60564553,60567355,"NChap1_final_00002390","R_salicifolius_00023836",""
"82",3171,"X",2425,17292,"NChap1_final_00002425","hap1","X",62547392,62556124,"NChap1_final_00002425","R_salicifolius_00023875",""
"83",3175,"X",2427,17288,"NChap1_final_00002427","hap1","X",62624682,62626185,"NChap1_final_00002427","R_salicifolius_00023878",""
"84",3273,"X",2498,17295,"NChap1_final_00002498","hap1","X",66988615,66991332,"NChap1_final_00002498","R_salicifolius_00023906",""
"85",3352,"X",2555,17303,"NChap1_final_00002555","hap1","X",70220641,70223038,"NChap1_final_00002555","R_salicifolius_00023945",""
"86",3407,"X",2596,17315,"NChap1_final_00002596","hap1","X",72003357,72006548,"NChap1_final_00002596","R_salicifolius_00023973",""
"87",3439,"X",2618,17335,"NChap1_final_00002618","hap1","X",72768669,72770646,"NChap1_final_00002618","R_salicifolius_00023986",""
"88",3524,"X",2673,17354,"NChap1_final_00002673","hap1","X",76940780,76942092,"NChap1_final_00002673","R_salicifolius_00024019",""
"89",3630,"X",2737,17363,"NChap1_final_00002737","hap1","X",82479614,82480609,"NChap1_final_00002737","R_salicifolius_00024052",""
"90",3719,"X",2811,17366,"NChap1_final_00002811","hap1","X",85349711,85351959,"NChap1_final_00002811","R_salicifolius_00021880",""
"91",3747,"X",2826,17365,"NChap1_final_00002826","hap1","X",86321333,86327602,"NChap1_final_00002826","R_salicifolius_00021866",""
"92",3773,"X",2850,17367,"NChap1_final_00002850","hap1","X",88111523,88116378,"NChap1_final_00002850","R_salicifolius_00021878",""
"93",3774,"X",2851,17368,"NChap1_final_00002851","hap1","X",88209082,88212618,"NChap1_final_00002851","R_salicifolius_00021433",""
"94",3777,"X",2854,17369,"NChap1_final_00002854","hap1","X",88361543,88368249,"NChap1_final_00002854","R_salicifolius_00021434",""
"95",3780,"X",2856,17379,"NChap1_final_00002856","hap1","X",88499507,88505104,"NChap1_final_00002856","R_salicifolius_00021436",""
"96",3782,"X",2857,17378,"NChap1_final_00002857","hap1","X",88505395,88507358,"NChap1_final_00002857","R_salicifolius_00021437",""
"97",3809,"X",2870,17375,"NChap1_final_00002870","hap1","X",89212193,89214406,"NChap1_final_00002870","R_salicifolius_00021447",""
"98",3813,"X",2872,17376,"NChap1_final_00002872","hap1","X",89285136,89287914,"NChap1_final_00002872","R_salicifolius_00021451",""
"99",3822,"X",2880,17373,"NChap1_final_00002880","hap1","X",89311381,89314575,"NChap1_final_00002880","R_salicifolius_00021453",""
"100",3832,"X",2884,17372,"NChap1_final_00002884","hap1","X",89592103,89594081,"NChap1_final_00002884","R_salicifolius_00021466",""
"101",3840,"X",2893,17380,"NChap1_final_00002893","hap1","X",90080585,90087213,"NChap1_final_00002893","R_salicifolius_00021473",""
"102",3846,"X",2898,17370,"NChap1_final_00002898","hap1","X",90376631,90385646,"NChap1_final_00002898","R_salicifolius_00021469",""
"103",3850,"X",2900,17374,"NChap1_final_00002900","hap1","X",90669826,90675267,"NChap1_final_00002900","R_salicifolius_00021474",""
"104",3853,"X",2904,17371,"NChap1_final_00002904","hap1","X",91068639,91072060,"NChap1_final_00002904","R_salicifolius_00021475",""
"105",3908,"X",2937,17395,"NChap1_final_00002937","hap1","X",92839645,92841704,"NChap1_final_00002937","R_salicifolius_00021505",""
"106",3909,"X",2938,17397,"NChap1_final_00002938","hap1","X",92842786,92844942,"NChap1_final_00002938","R_salicifolius_00021502",""
"107",3912,"X",2942,17391,"NChap1_final_00002942","hap1","X",92945478,93060882,"NChap1_final_00002942","R_salicifolius_00021500",""
"108",3913,"X",2943,17394,"NChap1_final_00002943","hap1","X",93063580,93066107,"NChap1_final_00002943","R_salicifolius_00021498",""
"109",3917,"X",2947,17399,"NChap1_final_00002947","hap1","X",93447099,93448645,"NChap1_final_00002947","R_salicifolius_00021493",""
"110",3919,"X",2949,17402,"NChap1_final_00002949","hap1","X",93506954,93512784,"NChap1_final_00002949","R_salicifolius_00021492",""
"111",3958,"X",2972.42857142857,17400,"NChap1_final_00002966","hap1","X",94302778,94307196,"NChap1_final_00002966","R_salicifolius_00021515",""
"112",3981,"X",2977,17423,"NChap1_final_00002977","hap1","X",94841738,94854105,"NChap1_final_00002977","R_salicifolius_00021519",""
"113",3984,"X",2981,17415,"NChap1_final_00002981","hap1","X",95007538,95009179,"NChap1_final_00002981","R_salicifolius_00021521",""
"114",3996,"X",2992,17426,"NChap1_final_00002992","hap1","X",95537162,95540874,"NChap1_final_00002992","R_salicifolius_00021529",""
"115",4050,"X",3025,17546,"NChap1_final_00003025","hap1","X",96972809,96975029,"NChap1_final_00003025","R_salicifolius_00021543",""
"116",4070,"X",3039,17442,"NChap1_final_00003039","hap1","X",97359502,97360694,"NChap1_final_00003039","R_salicifolius_00021550",""
"117",4072,"X",3040,17444,"NChap1_final_00003040","hap1","X",97400983,97403981,"NChap1_final_00003040","R_salicifolius_00021552",""
"118",4080,"X",3047,17461,"NChap1_final_00003047","hap1","X",97675468,97681210,"NChap1_final_00003047","R_salicifolius_00021556",""
"119",4081,"X",3048,17450,"NChap1_final_00003048","hap1","X",97686232,97693984,"NChap1_final_00003048","R_salicifolius_00021554",""
"120",4085,"X",3052,17449,"NChap1_final_00003052","hap1","X",97806596,97810761,"NChap1_final_00003052","R_salicifolius_00021557",""
"121",4091,"X",3059,17457,"NChap1_final_00003059","hap1","X",97956434,97959925,"NChap1_final_00003059","R_salicifolius_00021558",""
"122",4109,"X",3070,17438,"NChap1_final_00003070","hap1","X",98291057,98292301,"NChap1_final_00003070","R_salicifolius_00021569",""
"123",4111,"X",3072,17441,"NChap1_final_00003072","hap1","X",98625240,98627757,"NChap1_final_00003072","R_salicifolius_00021572",""
"124",4164,"X",3123,17513,"NChap1_final_00003123","hap1","X",99916442,99918417,"NChap1_final_00003123","R_salicifolius_00019114",""
"125",4165,"X",3124,17514,"NChap1_final_00003124","hap1","X",99933041,99936120,"NChap1_final_00003124","R_salicifolius_00019115",""
"126",4166,"X",3125,17511,"NChap1_final_00003125","hap1","X",99946372,99959567,"NChap1_final_00003125","R_salicifolius_00019116",""
"127",4167,"X",3126,17512,"NChap1_final_00003126","hap1","X",99963762,99967018,"NChap1_final_00003126","R_salicifolius_00019117",""
"128",4168,"X",3127,17515,"NChap1_final_00003127","hap1","X",99967056,99968903,"NChap1_final_00003127","R_salicifolius_00019118",""
"129",4169,"X",3128,17448,"NChap1_final_00003128","hap1","X",99998462,100001198,"NChap1_final_00003128","R_salicifolius_00019119",""
"130",4177,"X",3131,17483,"NChap1_final_00003131","hap1","X",100125170,100127755,"NChap1_final_00003131","R_salicifolius_00019128",""
"131",4183,"X",3135,17470,"NChap1_final_00003135","hap1","X",100281692,100284640,"NChap1_final_00003135","R_salicifolius_00019133",""
"132",4184,"X",3136,17478,"NChap1_final_00003136","hap1","X",100301059,100302546,"NChap1_final_00003136","R_salicifolius_00019134",""
"133",4191,"X",3140,17480,"NChap1_final_00003140","hap1","X",100400229,100405342,"NChap1_final_00003140","R_salicifolius_00019140",""
"134",4202,"X",3151,17472,"NChap1_final_00003151","hap1","X",100748229,100749760,"NChap1_final_00003151","R_salicifolius_00019603",""
"135",4206,"X",3155,17542,"NChap1_final_00003155","hap1","X",100811095,100815233,"NChap1_final_00003155","R_salicifolius_00019604",""
"136",4208,"X",3156,17543,"NChap1_final_00003156","hap1","X",100821213,100829902,"NChap1_final_00003156","R_salicifolius_00019606",""
"137",4211,"X",3158,17544,"NChap1_final_00003158","hap1","X",100850578,100851917,"NChap1_final_00003158","R_salicifolius_00019608",""
"138",4215,"X",3162,17503,"NChap1_final_00003162","hap1","X",100952882,100955617,"NChap1_final_00003162","R_salicifolius_00019610",""
"139",4223,"X",3168,17506,"NChap1_final_00003168","hap1","X",101131667,101134348,"NChap1_final_00003168","R_salicifolius_00019614",""
"140",4226,"X",3171,17507,"NChap1_final_00003171","hap1","X",101161568,101164111,"NChap1_final_00003171","R_salicifolius_00019615",""
"141",4228,"X",3173,17508,"NChap1_final_00003173","hap1","X",101174884,101176778,"NChap1_final_00003173","R_salicifolius_00019660",""
"142",4229,"X",3174,17474,"NChap1_final_00003174","hap1","X",101282520,101284269,"NChap1_final_00003174","R_salicifolius_00019657",""
"143",4231,"X",3176,17497,"NChap1_final_00003176","hap1","X",101323962,101326761,"NChap1_final_00003176","R_salicifolius_00019655",""
"144",4235,"X",3180,17485,"NChap1_final_00003180","hap1","X",101618369,101620219,"NChap1_final_00003180","R_salicifolius_00019653",""
"145",4244,"X",3190,17482,"NChap1_final_00003190","hap1","X",101936273,101938009,"NChap1_final_00003190","R_salicifolius_00019645",""
"146",4253,"X",3201,17500,"NChap1_final_00003201","hap1","X",102463115,102466664,"NChap1_final_00003201","R_salicifolius_00019108",""
"147",4257,"X",3206,17521,"NChap1_final_00003206","hap1","X",102560595,102578213,"NChap1_final_00003206","R_salicifolius_00019106",""
"148",4259,"X",3208,17490,"NChap1_final_00003208","hap1","X",102677978,102682525,"NChap1_final_00003208","R_salicifolius_00019104",""
"149",4261,"X",3210,17505,"NChap1_final_00003210","hap1","X",102804452,102808332,"NChap1_final_00003210","R_salicifolius_00019102",""
"150",4263,"X",3212,17549,"NChap1_final_00003212","hap1","X",102921621,102925685,"NChap1_final_00003212","R_salicifolius_00019101",""
"151",4265,"X",3214,17550,"NChap1_final_00003214","hap1","X",102932329,102934942,"NChap1_final_00003214","R_salicifolius_00019100",""
"152",4268,"X",3216,17548,"NChap1_final_00003216","hap1","X",102948949,102953455,"NChap1_final_00003216","R_salicifolius_00019097",""
"153",4273,"X",3219,17558,"NChap1_final_00003219","hap1","X",102992878,102996281,"NChap1_final_00003219","R_salicifolius_00019093",""
"154",4278,"X",3225,17554,"NChap1_final_00003225","hap1","X",103058618,103061565,"NChap1_final_00003225","R_salicifolius_00019094",""
"155",4284,"X",3233,17498,"NChap1_final_00003233","hap1","X",103253366,103255064,"NChap1_final_00003233","R_salicifolius_00019090",""
"156",4287,"X",3236,17528,"NChap1_final_00003236","hap1","X",103399438,103401307,"NChap1_final_00003236","R_salicifolius_00019085",""
"157",4290,"X",3238,17532,"NChap1_final_00003238","hap1","X",103417860,103422986,"NChap1_final_00003238","R_salicifolius_00019086",""
"158",4296,"X",3244,17531,"NChap1_final_00003244","hap1","X",103467639,103468610,"NChap1_final_00003244","R_salicifolius_00019088",""
"159",4298,"X",3245,17509,"NChap1_final_00003245","hap1","X",103481111,103481911,"NChap1_final_00003245","R_salicifolius_00019089",""
"160",4300,"X",3247,17524,"NChap1_final_00003247","hap1","X",103694783,103697829,"NChap1_final_00003247","R_salicifolius_00019082",""
"161",4307,"X",3255,17522,"NChap1_final_00003255","hap1","X",103867396,103873774,"NChap1_final_00003255","R_salicifolius_00019081",""
"162",4309,"X",3256,17516,"NChap1_final_00003256","hap1","X",103894752,103896629,"NChap1_final_00003256","R_salicifolius_00019079",""
"163",4319,"X",3267,17526,"NChap1_final_00003267","hap1","X",104099534,104106089,"NChap1_final_00003267","R_salicifolius_00019077",""
"164",4321,"X",3268,17527,"NChap1_final_00003268","hap1","X",104150906,104152925,"NChap1_final_00003268","R_salicifolius_00019075",""
"165",4324,"X",3271,17534,"NChap1_final_00003271","hap1","X",104280416,104284596,"NChap1_final_00003271","R_salicifolius_00019073",""
"166",4325,"X",3272,17535,"NChap1_final_00003272","hap1","X",104283488,104285662,"NChap1_final_00003272","R_salicifolius_00019072",""
"167",4331,"X",3278,17592,"NChap1_final_00003278","hap1","X",104394069,104395409,"NChap1_final_00003278","R_salicifolius_00019070",""
"168",4332,"X",3279,17594,"NChap1_final_00003279","hap1","X",104410457,104414657,"NChap1_final_00003279","R_salicifolius_00019069",""
"169",4343,"X",3288,17540,"NChap1_final_00003288","hap1","X",104533689,104535114,"NChap1_final_00003288","R_salicifolius_00019041",""
"170",4344,"X",3289,17538,"NChap1_final_00003289","hap1","X",104548447,104551879,"NChap1_final_00003289","R_salicifolius_00019044",""
"171",4349,"X",3293,17597,"NChap1_final_00003293","hap1","X",104682210,104685354,"NChap1_final_00003293","R_salicifolius_00019049",""
"172",4354,"X",3295,17598,"NChap1_final_00003295","hap1","X",104686472,104690543,"NChap1_final_00003295","R_salicifolius_00019046",""
"173",4364,"X",3302,17585,"NChap1_final_00003302","hap1","X",104804047,104808283,"NChap1_final_00003302","R_salicifolius_00019053",""
"174",4368,"X",3305,17587,"NChap1_final_00003305","hap1","X",104845341,104848221,"NChap1_final_00003305","R_salicifolius_00019056",""
"175",4369,"X",3306,17588,"NChap1_final_00003306","hap1","X",104877329,104879186,"NChap1_final_00003306","R_salicifolius_00019057",""
"176",4382,"X",3317,17574,"NChap1_final_00003317","hap1","X",104963556,104967314,"NChap1_final_00003317","R_salicifolius_00019062",""
"177",4384,"X",3318,17571,"NChap1_final_00003318","hap1","X",104980356,104983900,"NChap1_final_00003318","R_salicifolius_00019038",""
"178",4387,"X",3322,17626,"NChap1_final_00003322","hap1","X",105027522,105032198,"NChap1_final_00003322","R_salicifolius_00019035",""
"179",4427,"X",3352,17624,"NChap1_final_00003352","hap1","X",105717107,105717847,"NChap1_final_00003352","R_salicifolius_00018985",""
"180",4433,"X",3353,17625,"NChap1_final_00003353","hap1","X",105735255,105740063,"NChap1_final_00003353","R_salicifolius_00018979",""
"181",4437,"X",3356,17541,"NChap1_final_00003356","hap1","X",105804504,105806874,"NChap1_final_00003356","R_salicifolius_00018977",""
"182",4443,"X",3362,17606,"NChap1_final_00003362","hap1","X",105892804,105893782,"NChap1_final_00003362","R_salicifolius_00018973",""
"183",4462,"X",3372,17617,"NChap1_final_00003372","hap1","X",105996460,106002965,"NChap1_final_00003372","R_salicifolius_00019000",""
"184",4478,"X",3389,17560,"NChap1_final_00003389","hap1","X",106375493,106376743,"NChap1_final_00003389","R_salicifolius_00019913",""
"185",4480,"X",3391,17578,"NChap1_final_00003391","hap1","X",106456239,106456822,"NChap1_final_00003391","R_salicifolius_00019912",""
"186",4484,"X",3393,17561,"NChap1_final_00003393","hap1","X",106499110,106499561,"NChap1_final_00003393","R_salicifolius_00019909",""
"187",4485,"X",3394,17562,"NChap1_final_00003394","hap1","X",106526557,106529666,"NChap1_final_00003394","R_salicifolius_00019908",""
"188",4492,"X",3397,17570,"NChap1_final_00003397","hap1","X",106652191,106653353,"NChap1_final_00003397","R_salicifolius_00019903",""
"189",4494,"X",3399,17632,"NChap1_final_00003399","hap1","X",106706339,106707990,"NChap1_final_00003399","R_salicifolius_00019902",""
"190",4496,"X",3400,17634,"NChap1_final_00003400","hap1","X",106707867,106709960,"NChap1_final_00003400","R_salicifolius_00019900",""
"191",4502,"X",3404,17595,"NChap1_final_00003404","hap1","X",106871418,106876442,"NChap1_final_00003404","R_salicifolius_00019896",""
"192",4504,"X",3406,17596,"NChap1_final_00003406","hap1","X",106884047,106886415,"NChap1_final_00003406","R_salicifolius_00019895",""
"193",4509,"X",3411,17620,"NChap1_final_00003411","hap1","X",106994595,106999066,"NChap1_final_00003411","R_salicifolius_00019894",""
"194",4510,"X",3412,17621,"NChap1_final_00003412","hap1","X",107016501,107018625,"NChap1_final_00003412","R_salicifolius_00019893",""
"195",4512,"X",3414,17622,"NChap1_final_00003414","hap1","X",107077412,107079347,"NChap1_final_00003414","R_salicifolius_00019892",""
"196",4514,"X",3415,17636,"NChap1_final_00003415","hap1","X",107132323,107135243,"NChap1_final_00003415","R_salicifolius_00019890",""
"197",4517,"X",3417,17637,"NChap1_final_00003417","hap1","X",107157094,107171958,"NChap1_final_00003417","R_salicifolius_00019887",""
"198",4518,"X",3418,17635,"NChap1_final_00003418","hap1","X",107161754,107167520,"NChap1_final_00003418","R_salicifolius_00019888",""
"199",4519,"X",3419,17611,"NChap1_final_00003419","hap1","X",107174472,107176933,"NChap1_final_00003419","R_salicifolius_00019886",""
"200",4521,"X",3420,17612,"NChap1_final_00003420","hap1","X",107181381,107183202,"NChap1_final_00003420","R_salicifolius_00019884",""
"201",4522,"X",3421,17614,"NChap1_final_00003421","hap1","X",107193671,107198631,"NChap1_final_00003421","R_salicifolius_00019883",""
"202",4526,"X",3423,17600,"NChap1_final_00003423","hap1","X",107334723,107339135,"NChap1_final_00003423","R_salicifolius_00019879",""
"203",4529,"X",3425,17638,"NChap1_final_00003425","hap1","X",107435027,107436699,"NChap1_final_00003425","R_salicifolius_00019876",""
"204",4531,"X",3426,17590,"NChap1_final_00003426","hap1","X",107496526,107498546,"NChap1_final_00003426","R_salicifolius_00019874",""
"205",4534,"X",3428,17627,"NChap1_final_00003428","hap1","X",107648231,107650195,"NChap1_final_00003428","R_salicifolius_00019872",""
"206",4538,"X",3431,17582,"NChap1_final_00003431","hap1","X",107777638,107778025,"NChap1_final_00003431","R_salicifolius_00019870",""
"207",4542,"X",3435,17609,"NChap1_final_00003435","hap1","X",107805492,107806382,"NChap1_final_00003435","R_salicifolius_00019869",""
"208",4557,"X",3449,17591,"NChap1_final_00003449","hap1","X",108192690,108194385,"NChap1_final_00003449","R_salicifolius_00019865",""
